AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2021-22,40,11.9,22.4,0,33,54,62,277,28.50%
State,Alaska,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2021-22,40,13.5,18.1,0,81,78,109,602,58.10%
State,Arkansas,All,2021-22,40,11.3,16.1,0,28,30,40,248,41.40%
State,California,All,2021-22,40,11.8,15.3,0,125,114,162,"1,058",21.50%
State,Colorado,All,2021-22,40,12.6,19.9,0,35,48,55,277,40%
State,Connecticut,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2021-22,40,0,4.5,0,0,1,1,22,23.60%
State,Florida,All,2021-22,40,13.1,17.4,1,207,212,276,"1,588",43.30%
State,Georgia,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Hawaii,All,2021-22,40,7.8,9.4,0,5,5,6,64,30.60%
State,Idaho,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Illinois,All,2021-22,40,9.5,12.7,0,102,99,136,"1,075",52.80%
State,Indiana,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Iowa,All,2021-22,40,12.3,19.4,0,28,35,44,227,40.10%
State,Kansas,All,2021-22,40,12.6,16,0,30,26,38,238,47.40%
State,Kentucky,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Louisiana,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Maine,All,2021-22,40,8.1,14,0,19,21,33,236,87.60%
State,Maryland,All,2021-22,40,11.5,16.1,0,50,47,70,436,48.10%
State,Massachusetts,All,2021-22,40,7.3,10.4,0,30,27,43,413,38.40%
State,Michigan,All,2021-22,40,10.2,14.3,0,63,61,88,615,33.80%
State,Minnesota,All,2021-22,40,13.7,21.2,0,66,80,102,482,59.50%
State,Mississippi,All,2021-22,40,11.7,17.5,0,30,34,45,257,42.80%
State,Missouri,All,2021-22,40,11,17.1,0,36,44,56,327,28.70%
State,Montana,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Nebraska,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Nevada,All,2021-22,40,20.3,23.2,0,28,28,32,138,31.40%
State,New Hampshire,All,2021-22,40,4.6,9.1,0,8,14,16,175,77.40%
State,New Jersey,All,2021-22,40,10.5,13.5,0,57,49,73,541,39%
State,New Mexico,All,2021-22,40,11,16.4,0,8,12,12,73,21.40%
State,New York,All,2021-22,40,10.1,15,0,147,135,218,"1,449",76.30%
State,North Carolina,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Dakota,All,2021-22,40,17.4,30.4,0,12,15,21,69,57.70%
State,Ohio,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Oklahoma,All,2021-22,40,13.8,17.9,0,27,23,35,195,26%
State,Oregon,All,2021-22,40,11.6,22.2,0,22,36,42,189,28%
State,Pennsylvania,All,2021-22,40,12.1,20.4,0,146,219,246,"1,208",47.90%
State,Rhode Island,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,South Carolina,All,2021-22,40,16.7,27.4,0,82,122,135,492,54.70%
State,South Dakota,All,2021-22,40,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Tennessee,All,2021-22,40,13.3,24.2,0,70,113,127,525,41.20%
State,Texas,All,2021-22,40,19.1,29.3,1,154,210,238,812,22.60%
